,Variable,mean.RMSE,orig.RMSE,K.or.D
2593,x1353,0.151132,0.149887,DROP
2592,x1354,0.150614,0.149887,DROP
2591,x1355,0.150088,0.149887,DROP
2590,x1356,0.151225,0.149887,DROP
2589,x1357,0.151186,0.149887,DROP
2588,x1358,0.151448,0.149887,DROP
2587,x1359,0.150495,0.149887,DROP
2586,x136,0.150625,0.149887,DROP
2585,x1360,0.150571,0.149887,DROP
2584,x1361,0.1502,0.149887,DROP
2583,x1362,0.15082,0.149887,DROP
2582,x1363,0.15051,0.149887,DROP
2581,x1364,0.151039,0.149887,DROP
2580,x1365,0.150338,0.149887,DROP
2579,x1366,0.150153,0.149887,DROP
2578,x1367,0.150075,0.149887,DROP
2577,x1368,0.150343,0.149887,DROP
2576,x1369,0.150303,0.149887,DROP
2575,x137,0.151122,0.149887,DROP
2574,x1370,0.151237,0.149887,DROP
2573,x1371,0.150777,0.149887,DROP
2572,x1372,0.15065,0.149887,DROP
2571,x1373,0.150945,0.149887,DROP
2570,x1374,0.150608,0.149887,DROP
2569,x1375,0.151094,0.149887,DROP
2568,x1376,0.149933,0.149887,DROP
2567,x1377,0.150489,0.149887,DROP
2566,x1378,0.149996,0.149887,DROP
2565,x1379,0.150641,0.149887,DROP
2564,x138,0.150002,0.149887,DROP
2563,x1380,0.150541,0.149887,DROP
2562,x1381,0.150597,0.149887,DROP
2561,x1382,0.150037,0.149887,DROP
2560,x1383,0.150997,0.149887,DROP
2559,x1384,0.150647,0.149887,DROP
2558,x1385,0.150274,0.149887,DROP
2557,x1386,0.151078,0.149887,DROP
2556,x1387,0.15054,0.149887,DROP
2555,x1388,0.150944,0.149887,DROP
2554,x1389,0.150851,0.149887,DROP
2553,x139,0.15028,0.149887,DROP
2552,x1390,0.151621,0.149887,DROP
2551,x1391,0.150894,0.149887,DROP
2550,x1392,0.150616,0.149887,DROP
2549,x1393,0.15042,0.149887,DROP
2548,x1394,0.150903,0.149887,DROP
2547,x1395,0.150799,0.149887,DROP
2546,x1396,0.150802,0.149887,DROP
2545,x1397,0.150857,0.149887,DROP
2544,x1398,0.15044,0.149887,DROP
2543,x1399,0.150982,0.149887,DROP
2542,x14,0.150842,0.149887,DROP
2541,x140,0.150769,0.149887,DROP
2540,x1400,0.150819,0.149887,DROP
2539,x1401,0.151343,0.149887,DROP
2538,x1402,0.150448,0.149887,DROP
2537,x1403,0.150554,0.149887,DROP
2536,x1404,0.150438,0.149887,DROP
2535,x1405,0.149982,0.149887,DROP
2534,x1406,0.150641,0.149887,DROP
2533,x1407,0.150407,0.149887,DROP
2532,x1408,0.150222,0.149887,DROP
322,x71,0.185006,0.185076,KEEP
2530,x141,0.150617,0.150356,DROP
2529,x1410,0.150493,0.150356,DROP
2528,x1411,0.150772,0.150356,DROP
2527,x1412,0.150943,0.150356,DROP
2526,x1413,0.15116,0.150356,DROP
2525,x1414,0.150584,0.150356,DROP
122,x890,0.219763,0.222787,KEEP
2523,x1416,0.151307,0.150735,DROP
89,x92,0.239322,0.240033,KEEP
2521,x1418,0.151611,0.150879,DROP
2520,x1419,0.151148,0.150879,DROP
2519,x142,0.151291,0.150879,DROP
2518,x1420,0.151202,0.150879,DROP
2517,x1421,0.151033,0.150879,DROP
2516,x1422,0.151151,0.150879,DROP
2515,x1423,0.151348,0.150879,DROP
2514,x1424,0.151769,0.150879,DROP
67,x94,0.24702,0.247195,KEEP
34,x97,0.294271,0.295024,KEEP
2511,x1427,0.15143,0.150942,DROP
2510,x1428,0.150996,0.150942,DROP
26,x977,0.308787,0.308999,KEEP
2508,x143,0.152535,0.151467,DROP
2507,x1430,0.152498,0.151467,DROP
2506,x1431,0.152592,0.151467,DROP
2505,x1432,0.152885,0.151467,DROP
2504,x1433,0.152188,0.151467,DROP
2503,x1434,0.152737,0.151467,DROP
2502,x1435,0.152186,0.151467,DROP
2501,x1436,0.151801,0.151467,DROP
2500,x1437,0.152205,0.151467,DROP
2499,x1438,0.152391,0.151467,DROP
2498,x1439,0.15179,0.151467,DROP
2497,x144,0.152449,0.151467,DROP
2496,x1440,0.152368,0.151467,DROP
2495,x1441,0.152726,0.151467,DROP
2494,x1442,0.151924,0.151467,DROP
2493,x1443,0.152712,0.151467,DROP
2492,x1444,0.152296,0.151467,DROP
2491,x1445,0.152776,0.151467,DROP
2490,x1446,0.152639,0.151467,DROP
2489,x1447,0.15294,0.151467,DROP
2488,x1448,0.152617,0.151467,DROP
2487,x1449,0.152085,0.151467,DROP
2486,x145,0.152587,0.151467,DROP
2485,x1450,0.151598,0.151467,DROP
2484,x1451,0.152418,0.151467,DROP
2483,x1452,0.152507,0.151467,DROP
2482,x1453,0.151779,0.151467,DROP
2481,x1454,0.152873,0.151467,DROP
2480,x1455,0.151692,0.151467,DROP
2479,x1456,0.152418,0.151467,DROP
2478,x1457,0.152832,0.151467,DROP
2477,x1458,0.152516,0.151467,DROP
2476,x1459,0.152858,0.151467,DROP
2475,x146,0.151902,0.151467,DROP
2474,x1460,0.152478,0.151467,DROP
2473,x1461,0.152331,0.151467,DROP
2472,x1462,0.152503,0.151467,DROP
2471,x1463,0.152104,0.151467,DROP
2470,x1464,0.152641,0.151467,DROP
2469,x1465,0.152183,0.151467,DROP
2468,x1466,0.152462,0.151467,DROP
2467,x1467,0.15194,0.151467,DROP
2466,x1468,0.151827,0.151467,DROP
2465,x1469,0.152217,0.151467,DROP
2464,x147,0.152357,0.151467,DROP
2463,x1470,0.152431,0.151467,DROP
2462,x1471,0.151959,0.151467,DROP
2461,x1472,0.15185,0.151467,DROP
2460,x1473,0.152621,0.151467,DROP
